record_id,full_name,dob,nationality,id_type,id_number,type
C873820,Levant Textiles GmbH,,KW,,,entity
C493060,Hua Chieh Teng,,TW,document,TW40941038,individual
C542352,Ko Lei,1957-02-03,CN,,,individual
C274671,O. Petrova,,MX,document,UA66030562,individual
C596123,Jose Fernández,1951-05-21,GB,,,individual
C775483,Ramen Zammani,1974-09-27,TJ,,,individual
C409097,Min Po Hon,,HK,,,individual
C720065,Golnaaz Moradie,1963-10-17,AU,,,individual
C735094,Darwesh Nizar,,KW,,,individual
C842473,Stephen M. Da Silva,,DE,,,individual
C148274,Hakem Sammi,1970-07-25,EG,,,individual
C832777,"Belousow, Wjacheslaw",1967-05-01,KZ,,,individual
C423265,"Sallehi, Zahrah",,TJ,document,TJ60838310,individual
C213207,"Shevchenko, Konstantin Nikolaevich",1999,BY,,,individual
C893318,Jielei Ye,1962-10-08,CA,,,individual
C420175,Rania Hakem,,EG,,,individual
C528670,"Zhukov, Roman",1985-11-26,BY,,,individual
C502271,"Yegorov, Artem",1976-03-08,UA,,,individual
C262450,Aral Maritime Corp,,HK,,,entity
C220863,Bosphorus Energy Free Zone Establishment,,TJ,,,entity
C257562,Luo Itung,1967-03-25,CN,,,individual
C106149,Anthony Bianchi,1954-02-17,DE,,,individual
C384870,Mah Hai Yan,1999-12-12,SG,,,individual
C857026,Bin Rong Liu,,HK,,,individual
C444116,Abu Nour,,EG,,,individual
C695024,Guo Li,1984,CN,,,individual
C723010,Stanislav Shcherbakov,1960-04-10,SA,,,individual
C683047,Fedor Tkachenko,1973-03,UA,,,individual
C318321,Anatoly Bykov,,UA,,,individual
C277983,Tsai Chun-Tien,,CN,,,individual
C763918,Chuck J. Hernandez,1961-09-19,DE,,,individual
C351872,Iling Chou,1966-07-11,CN,,,individual
C923647,Pawel Aleksandrovicz Nikolaew,1950-02-09,KZ,,,individual
C115270,Ameenah bin Yasir Mahdi,,AE,,,individual
C101301,Chan Chun-Gui,1984-03-27,SG,,,individual
C577324,Falcon Investments Ltd.,,DE,,,entity
C897029,Amber Road Import & Export Sociedad Anonima,,SG,,,entity
C511839,Vessel Atlantic Hope,,LR,imo,IMO9419719,vessel
C391772,Wiktor Iwanow,,BY,,,individual
C569740,Mahsa Rostammi,1990-04-03,TJ,,,individual
C322700,Mohsin Rostami,1953-05-25,TJ,,,individual
C853310,Huang Yan-Hui,1989-12-20,TW,,,individual
C973678,"Belousov, Stanislav",1962-06-11,UA,,,individual
C643138,Arkady Alexeevich Kozlov,1951-06,UA,,,individual
C163104,Marina Orlova,1964-10-22,BY,,,individual
C694581,Shahram Kermani,1957,TJ,,,individual
C397783,Tony M. McDonald,1965-11-01,FR,,,individual
C707947,Denis Zhukov,1985-08-17,GR,,,individual
C967038,"Emerald Bay Aviation, Corporation",,BR,,,entity
C829672,Andy A. Kowalsky,1982-04-16,US,,,individual
C237176,Coral Reef II,,MT,imo,IMO9595622,vessel
C515392,Artiom Chichkin,1989-08-08,KZ,,,individual
C411734,"Nowikow, Denis Nikolaevitsch",,UA,,,individual
C459944,Jennifer Olson,1982-12-23,US,,,individual
C213488,Jimmy A. Sorensen,1961-08-15,US,,,individual
C342964,Nabel bin Majed Darwesh,1973-03,KW,,,individual
C214039,Min Hua Liang,,TW,,,individual
C364655,Yenisei Aviation FZ-LLC,,GR,,,entity
C127129,Tai Ying,1973-10-09,TW,,,individual
C934075,Qian Shurong,1950-06,TW,,,individual
C709602,Zhanna Kuznecova,1997-11-03,GR,,,individual
C312840,Grigory Petrovitch Volkoff,1952-06-20,GR,,,individual
C188760,Fedor Jaszin,1950,GR,,,individual
C858530,Mesopotamia Import Export G.m.b.H.,,LB,,,entity
C408085,Dariush Sheerazi,1962-08-06,TJ,,,individual
C566918,Chao Hsiang-Po,1970-01-21,SG,,,individual
C599287,Marwen Azez,2000-07-01,MA,,,individual
C354872,Donghai Wu,1952-04-09,HK,document,HK28051196,individual
C941606,José Kowalsky,,US,,,individual
C340969,Levant Textiles Joint Stock Company,,GR,,,entity
C990474,Hasen Haded,1969-08-21,AE,,,individual
C705911,"Salmen, Ali",,KW,,,individual
C971990,Michael O Brien,1991,BR,,,individual
C284398,Sallem Hakem,1975-04-21,UA,,,individual
C643647,Zamzam Group,,CA,registration,REG-307077,entity
C247825,Rodrigues Ted,1960-09-10,MX,,,individual
C695264,Hanen el-Jabouri,,KW,,,individual
C600553,Mortizah Akbari,,TJ,,,individual
C484751,Darya Kravtchenko,1997,GR,document,GR77243011,individual
C411153,MT Falcon Bay,,CY,,,vessel
C297302,Hameed Tabrezi,1971-11-27,TJ,,,individual
C631059,Atlas Electronics LLC,,MX,,,entity
C670938,Xia-Hua Xu,1982,CA,,,individual
C594994,Abdollah Tahah,1970,SA,,,individual
C602719,Ruslan Lebedew,,BY,document,BY27471740,individual
C872221,Andrew A. Pedersen,,US,,,individual
C796677,Wind Runner II Trader,,CY,,,vessel
C201919,Oxana Zhukova,1958-02-11,KZ,,,individual
C679901,Husain Hamden,1989-02-03,JO,,,individual
C943756,Maryame Yazdani,,GE,,,individual
C380754,Nazari Hosain,1972-12-21,TJ,,,individual
C113445,Viktoriya Smirnova,1994,GR,,,individual
C198669,Baltic Investments L.L.C.,,AU,,,entity
C179083,Vessel Black Tide,,GR,imo,IMO9520151,vessel
C941851,Alexeij Mikhailowich Kowalenko,1999-11-23,UA,,,individual
C850836,Ismayl Hashemi,,JO,,,individual
C796965,مسعود صادقی,1985-06-19,GE,,,individual
C605641,Abdulrahmen Shahen,,JO,,,individual
C859583,Falcon Logistics Company,,MX,,,entity
C515262,Arkady Petrov,1984-04-02,KZ,,,individual
C733583,Fedor Sergeyevich Makarov,1980,GR,,,individual
C417456,Yuchien Lu,,TW,,,individual
C788030,"Kowalenko, Stschanna Sergejevna",1986-07-15,UA,,,individual
C544886,Hamed Esfahani,,TJ,,,individual
C925252,Mah An Ping,,HK,document,HK14147158,individual
C402062,Zhou Minhua,1985-10-05,SG,,,individual
C288376,Lotus Energy Corp,,LB,,,entity
C693602,Fan Cheng,1968-12-18,HK,,,individual
C640821,Theodore A. Larson,1960-01-25,US,,,individual
C240628,N. al-Tikriti,1976-06-20,LB,document,LB83551961,individual
C751695,Abdolah al-Amen,,TN,,,individual
C540902,Te-Hao Song,1957-10-15,HK,,,individual
C739097,MV Kestrel V,,PA,,,vessel
C934566,Vyacheslav Kozlov,1982-03-20,BY,,,individual
C839036,Nilloufar Mousavi,1976-08-23,TJ,,,individual
C127072,Nikolay Vladimirovich Kiselev,1967-07-05,UA,,,individual
C431501,William J. Bianchi,,DE,,,individual
C560466,Leillah Yazdani,1967-08-19,TJ,,,individual
C318555,Tatiana Sergejevna Nikolaewa,,BY,,,individual
C255378,Shu Hwang,1981-12-25,SG,,,individual
C114518,Olsen Francisco M.,1997-11-17,MX,,,individual
C629916,Feng Meipin,1991-06-14,TW,,,individual
C992701,Vasily Makarov,1956-03-26,BY,,,individual
C720980,Wang Xiang-Gang,,SG,,,individual
C485177,Tao-Yun Mah,,TW,,,individual
C772776,Fateemmah El Masri,1974,AE,,,individual
C591458,Tigris Construction Corporation,,CA,,,entity
C162846,Zagros Construction Corporation,,TW,,,entity
C692371,Hao Tsang,,SG,,,individual
C489841,Saed Barakat,,AE,,,individual
C676818,Mesopotamia,,MA,registration,REG-741251,entity
C916674,Omar Sulten,1960-03-13,TN,,,individual
C773449,Dariush Rahemmi,1973-04-13,TJ,,,individual
C520685,Mahsah Raheemi,1984-12,TJ,,,individual
C394095,Arkady Alexeevich Yakovlev,1992-10-08,KZ,document,KZ65273336,individual
C163002,Roman Kovalenko,1993-08-09,BY,,,individual
C349505,"Aral Investments, Ltd",,UA,,,entity
C814823,Tsai Mei-Chiang,,TW,,,individual
C138803,Lotus Construction SA,,CA,,,entity
C896281,Caspian Chemicals GmbH,,DE,,,entity
C210168,Majed Jafari,1973,TJ,,,individual
C575512,Salmen Omar,1981,TN,,,individual
C492343,"Kiselyow, Yurij",,KZ,,,individual
C941656,Ma De-Fu,1954,TW,,,individual
C760417,M/V Amber Sky Star,,MT,,,vessel
C905731,Mariam Kanen,,EG,,,individual
C495627,Marina Kiselioffa,1992-03-19,GR,,,individual
C680530,KARAKUM INDUSTRIES L.L.C.,,KW,,,entity
C328344,Liang Zhong,1996-09-05,AU,,,individual
C525470,Red Falcon Alpha,,SG,imo,IMO9372642,vessel
C336846,Ma Haojing,1968-09-14,CN,,,individual
C370475,Phoenix Industries L.L.C.,,HK,,,entity
C810454,"Smirnov, Boris Sergeyevich",1981,UA,document,UA35687672,individual
C681996,An-Lei Kwok,1979-12-08,SG,,,individual
C564331,Cheren Baghiri,1979-06-01,GE,,,individual
C380489,Abduazeez AzZahrani,1996-05-21,AE,document,AE25485293,individual
C755812,Falcon Import Export Co,,FR,,,entity
C208547,Tatiana Wolkowa,1978-05-13,BY,,,individual
C356347,Steven Larsen,,FR,,,individual
C461824,"Abas, Husein",1957,MA,,,individual
C515073,Behrouz Rahmani,1983-08-22,TJ,,,individual
C881356,Lyudmila Ivanova,,UA,,,individual
C338287,Waled Sadalah,1963-02-20,AE,,,individual
C175514,Charlie de la Cruz,1988-10-20,FR,,,individual
C503649,Faissal Yasseen,,SA,,,individual
C507958,M/V Polar Bear V,,MH,,,vessel
C575020,"Ar-Rasheed, Khadeja",,AE,document,AE52086779,individual
C708870,Zaynab AlHashimmie,,JO,,,individual
C272824,Grigory Jashin,1969-07-03,UA,,,individual
C841083,شهرام محمودی,1980-03-19,TJ,,,individual
C162211,Edward M. Nguyen,1989-06,CA,,,individual
