customer_id,full_name,dob,nationality,id_type,id_number,type
C983735,Dai Shipping Joint Stock Company,,AU,,,entity
C667833,أحمد بن طارق الدوري,1951-09-06,YE,,,individual
C297746,Alexey Morozov,1965-04-26,KZ,,,individual
C771759,Hamdan,,YE,passport,YE54325018,individual
C350789,Hashimi Mohsin,1971-09-25,AF,,,individual
C959560,Vessel Sea Lion,,CM,imo,IMO9704728,vessel
C826806,Mariya Chichkina,,RU,,,individual
C410460,M/V Andromeda Star,,KM,,,vessel
C527690,Paco M. Vanderberg,1991-08-10,DE,,,individual
C977124,Arash Rostammi,1971,AF,,,individual
C426843,Salma ben Hamed Farsi,1994-01-17,SY,,,individual
C922656,Caspian Logistics,,MX,,,entity
C442685,Olga Tsoy,1977,UA,,,individual
C793927,"Kravchenko, Nataliya",1976-07-02,KZ,passport,KZ16978961,individual
C640702,Mustafah Barakat,1984-10-05,EG,,,individual
C492563,Khalede Khourye,1966-05-07,IQ,,,individual
C804778,Shahram Karemi,1999-08-11,IR,passport,IR61726132,individual
C463703,Roman Ivanov,1970-12-24,UA,,,individual
C229307,Stanislav Shcherbakov,1998-01-11,BY,,,individual
C521207,Wladimir Andreew,1997-10-18,UA,,,individual
C145032,Abdul Karem Salmaan,1961-01-27,MX,,,individual
C663075,el-Tikreti Ahmade,1999-01-19,AE,,,individual
C790328,Anastasiya Makarova,1968-02-09,RU,,,individual
C455867,Baschar Mahdi,1975-01-07,EG,,,individual
C455751,Dorothy M. Meyer,,GB,,,individual
C135534,Jamale ElKhateeb,1988-02-20,LB,,,individual
C899671,Elizabeth M. van den Berg,,AU,,,individual
C803059,Babaak Ghasemy,1957-06-03,AF,,,individual
C732985,Schmitt Hank M.,,BR,,,individual
C922365,"Khoury, Kammal ibn Yussof",1980-07-16,YE,,,individual
C818921,Nadezhda Yashina,1953-10-19,RU,,,individual
C753140,Yuan Trading JSC,,AF,,,entity
C971685,"Andreeva, Elizaveta Petrovna",,RU,,,individual
C952179,Shirin A.,1973-02-23,AF,passport,AF82499581,individual
C881899,Nasren Ghasemy,1995-06-06,AF,,,individual
C367458,Dmitriy Nikolaeff,1978,UA,,,individual
C618254,"Egorow, Alexandr Sergeyewich",1987-10-26,UA,,,individual
C585165,Saaid Rezai,1979-02-18,AF,,,individual
C206866,Nazari Babak,1999-01-25,IR,,,individual
C669114,Zaynab Al Sayid,,AU,,,individual
C286431,Aral Textiles,,JO,,,entity
C222788,Olga Yashina,1960-02-24,RU,,,individual
C216155,Joe M. Smith-Jones,1977-09-22,GB,,,individual
C607256,Fedor Lebedev,1991-04-25,RU,,,individual
C841330,Adnen Schahen,,LB,,,individual
C277796,Ehsene Esfahani,,IR,passport,IR57093915,individual
C966988,Fahd Al Ameen,1991-04,EG,,,individual
C291250,Babaak Zammany,1975-05-23,IR,,,individual
C619844,Meridian Petroleum LLC,,KZ,,,entity
C759289,Mansoure Talale,1983-07-04,IR,,,individual
C847290,Madschid Ghassemmi,,YE,,,individual
C797441,Golnaz Moradi,1990-07-20,AF,,,individual
C601480,Mustafah Shaheen,1957-09-04,SA,,,individual
